number,,front3,,tail3,,tail2
417652,,577,,748,,55
590417,,195,,377,,80
297411,,181,,101,,92
812519,,389,,564,,47
157196,,7,,250,,58
845293,,411,,593,,14
375805,,170,,409,,8
121789,,532,,157,,64
913106,,722,,343,,70
613106,,37,,606,,15
484669,,206,,194,,50
943703,,540,,432,,75
929322,,298,,210,,83
331583,,271,,284,,42
436594,,266,,282,,14
620405,,159,,61,,53
981417,,242,,2,,61
361807,,285,,106,,92
319196,,679,,213,,2
155012,,247,,236,,6
658642,,518,,41,,9
395919,,289,,413,,58
970618,,391,,578,,10
737687,,349,,788,,3
61905,,236,,234,,7
98597,,85,,592,,57
944308,,61,,485,,30
880159,,731,,119,,92
819068,,591,,419,,36
639235,,97,,476,,83
77258,,739,,401,,82
32761,,471,,245,,57
45037,,247,,331,,95
386372,,602,,295,,38
578171,,285,,379,,83
70935,,609,,7,,90
114475,,278,,123,,79
46750,,421,,160,,23
910261,,103,,4,,69
556725,,58,,233,,70
713517,,73,,414,,29
691861,,7,,447,,17
292972,,193,,723,,45
684579,,615,,276,,14
501272,,18,,129,,18
100787,,13,,264,,56
472270,,283,,393,,5
890422,,36,,256,,19
835538,,290,,51,,73
424603,,318,,57,,39
912307,,248,,282,,97
384395,,367,,566,,15
803628,,336,,321,,19
201303,,377,,72,,70
100994,,93,,834,,84
972661,,368,,208,,46
506404,,154,,62,,40
286051,,189,,45,,38
837893,,564,,110,,59
244083,,127,,623,,57
999997,,636,,342,,98
945811,,614,,364,,88
569391,,575,,578,,92
873286,,510,,494,,53
347258,,95,,94,,83
516967,,876,,565,,64
831567,,264,,562,,24
51095,,285,,191,,22
503446,,258,,404,,77
875938,,294,,597,,98
781403,,515,,30,,94
859227,,259,,375,,6
491774,,4,,379,,68
510541,,116,,140,,81
529924,,43,,555,,97
453522,,261,,13,,81
17223,,164,,85,,32
967375,,323,,21,,79
812564,,255,,132,,15
691197,,392,,606,,59
340388,,733,,925,,85
798787,,210,,274,,20
775476,,149,,563,,89
387006,,135,,562,,58
369765,,355,,113,,88
943647,,239,,6,,86
174255,,625,,127,,29
516461,,589,,215,,46
962526,,669,,18,,71
61324,,43,,374,,25
570331,,512,,966,,23
109767,,888,,403,,52
724628,,148,,154,,64
345650,,137,,830,,65
74824,,881,,612,,56
967134,,643,,197,,4
197079,,206,,127,,65
735867,,31,,701,,2
356564,,480,,297,,62
21840,,45,,561,,67
989903,,471,,140,,16
149840,,384,,46,,58
200515,,186,,192,,93
452643,,594,,561,,99
149760,,323,,155,,79
734510,,464,,97,,26
586117,,340,,591,,10
386602,,832,,549,,78
596324,,403,,138,,27
963623,,429,,210,,83
223131,,432,,132,,46
988117,,310,,248,,95
75629,,130,,47,,20
248038,,527,,225,,85
739229,,273,,76,,60
