date,month,year,num
1,มีนาคม,2566,417652
16,กุมภาพันธ์,2566,590417
1,กุมภาพันธ์,2566,297411
17,มกราคม,2566,812519
30,ธันวาคม,2565,157196
16,ธันวาคม,2565,845293
1,ธันวาคม,2565,375805
16,พฤศจิกายน,2565,121789
1,พฤศจิกายน,2565,913106
16,ตุลาคม,2565,613106
1,ตุลาคม,2565,484669
16,กันยายน,2565,943703
1,กันยายน,2565,929322
16,สิงหาคม,2565,331583
1,สิงหาคม,2565,436594
16,กรกฏาคม,2565,620405
1,กรกฏาคม,2565,981417
16,มิถุนายน,2565,361807
1,มิถุนายน,2565,319196
16,พฤษภาคม,2565,155012
2,พฤษภาคม,2565,658642
16,เมษายน,2565,395919
1,เมษายน,2565,970618
16,มีนาคม,2565,737687
1,มีนาคม,2565,61905
17,กุมภาพันธ์,2565,98597
1,กุมภาพันธ์,2565,944308
17,มกราคม,2565,880159
30,ธันวาคม,2564,819068
16,ธันวาคม,2564,639235
1,ธันวาคม,2564,77258
16,พฤศจิกายน,2564,32761
1,พฤศจิกายน,2564,45037
16,ตุลาคม,2564,386372
1,ตุลาคม,2564,578171
16,กันยายน,2564,70935
1,กันยายน,2564,114475
16,สิงหาคม,2564,46750
1,สิงหาคม,2564,910261
16,กรกฏาคม,2564,556725
1,กรกฏาคม,2564,713517
16,มิถุนายน,2564,691861
1,มิถุนายน,2564,292972
16,พฤษภาคม,2564,684579
2,พฤษภาคม,2564,501272
16,เมษายน,2564,100787
1,เมษายน,2564,472270
16,มีนาคม,2564,890422
1,มีนาคม,2564,835538
16,กุมภาพันธ์,2564,424603
1,กุมภาพันธ์,2564,912307
17,มกราคม,2564,384395
30,ธันวาคม,2563,803628
16,ธันวาคม,2563,201303
1,ธันวาคม,2563,100994
16,พฤศจิกายน,2563,972661
1,พฤศจิกายน,2563,506404
16,ตุลาคม,2563,286051
1,ตุลาคม,2563,837893
16,กันยายน,2563,244083
1,กันยายน,2563,999997
16,สิงหาคม,2563,945811
1,สิงหาคม,2563,569391
16,กรกฏาคม,2563,873286
1,กรกฏาคม,2563,347258
16,มิถุนายน,2563,516967
1,มิถุนายน,2563,831567
1,เมษายน,2563,51095
16,มีนาคม,2563,503446
1,มีนาคม,2563,875938
16,กุมภาพันธ์,2563,781403
1,กุมภาพันธ์,2563,859227
17,มกราคม,2563,491774
30,ธันวาคม,2562,510541
16,ธันวาคม,2562,529924
1,ธันวาคม,2562,453522
16,พฤศจิกายน,2562,17223
1,พฤศจิกายน,2562,967375
16,ตุลาคม,2562,812564
1,ตุลาคม,2562,691197
16,กันยายน,2562,340388
1,กันยายน,2562,798787
16,สิงหาคม,2562,775476
1,สิงหาคม,2562,387006
16,กรกฏาคม,2562,369765
1,กรกฏาคม,2562,943647
16,มิถุนายน,2562,174255
1,มิถุนายน,2562,516461
16,พฤษภาคม,2562,962526
2,พฤษภาคม,2562,61324
16,เมษายน,2562,570331
1,เมษายน,2562,109767
16,มีนาคม,2562,724628
1,มีนาคม,2562,345650
16,กุมภาพันธ์,2562,74824
1,กุมภาพันธ์,2562,967134
17,มกราคม,2562,197079
30,ธันวาคม,2561,735867
16,ธันวาคม,2561,356564
1,ธันวาคม,2561,21840
16,พฤศจิกายน,2561,989903
1,พฤศจิกายน,2561,149840
16,ตุลาคม,2561,200515
1,ตุลาคม,2561,452643
16,กันยายน,2561,149760
1,กันยายน,2561,734510
16,สิงหาคม,2561,586117
1,สิงหาคม,2561,386602
16,กรกฏาคม,2561,596324
1,กรกฏาคม,2561,963623
16,มิถุนายน,2561,223131
1,มิถุนายน,2561,988117
16,พฤษภาคม,2561,75629
2,พฤษภาคม,2561,248038
16,เมษายน,2561,739229
1,เมษายน,2561,412073
16,มีนาคม,2561,218559
1,มีนาคม,2561,759415
16,กุมภาพันธ์,2561,309915
1,กุมภาพันธ์,2561,26853
17,มกราคม,2561,203823
30,ธันวาคม,2560,911234
16,ธันวาคม,2560,955596
1,ธันวาคม,2560,451005
16,พฤศจิกายน,2560,292391
1,พฤศจิกายน,2560,533726
16,ตุลาคม,2560,413494
1,ตุลาคม,2560,880714
16,กันยายน,2560,170143
1,กันยายน,2560,143224
16,สิงหาคม,2560,715431
1,สิงหาคม,2560,756519
16,กรกฏาคม,2560,820327
1,กรกฏาคม,2560,112360
16,มิถุนายน,2560,943142
1,มิถุนายน,2560,53630
16,พฤษภาคม,2560,454891
2,พฤษภาคม,2560,8656
16,เมษายน,2560,816729
1,เมษายน,2560,392785
16,มีนาคม,2560,273863
1,มีนาคม,2560,978453
16,กุมภาพันธ์,2560,229116
1,กุมภาพันธ์,2560,54672
17,มกราคม,2560,145157
30,ธันวาคม,2559,377712
16,ธันวาคม,2559,435286
1,ธันวาคม,2559,86069
16,พฤศจิกายน,2559,858383
1,พฤศจิกายน,2559,785438
16,ตุลาคม,2559,571947
1,ตุลาคม,2559,887102
16,กันยายน,2559,240650
1,กันยายน,2559,638684
16,สิงหาคม,2559,254004
1,สิงหาคม,2559,272932
16,กรกฏาคม,2559,449764
1,กรกฏาคม,2559,82460
16,มิถุนายน,2559,73816
1,มิถุนายน,2559,511825
16,พฤษภาคม,2559,141737
2,พฤษภาคม,2559,399459
16,เมษายน,2559,221609
1,เมษายน,2559,66720
16,มีนาคม,2559,134918
1,มีนาคม,2559,439868
16,กุมภาพันธ์,2559,356364
1,กุมภาพันธ์,2559,927800
17,มกราคม,2559,304371
30,ธันวาคม,2558,8217
17,ธันวาคม,2558,930255
1,ธันวาคม,2558,915350
16,พฤศจิกายน,2558,795283
1,พฤศจิกายน,2558,361211
16,ตุลาคม,2558,968630
1,ตุลาคม,2558,594825
16,กันยายน,2558,743148
1,กันยายน,2558,21094
16,สิงหาคม,2558,33363
1,สิงหาคม,2558,518677
16,กรกฏาคม,2558,121507
1,กรกฏาคม,2558,759049
16,มิถุนายน,2558,644742
1,มิถุนายน,2558,388881
16,พฤษภาคม,2558,11421
2,พฤษภาคม,2558,543466
16,เมษายน,2558,506260
1,เมษายน,2558,605704
16,มีนาคม,2558,48151
1,มีนาคม,2558,240237
16,กุมภาพันธ์,2558,1864
1,กุมภาพันธ์,2558,155537
16,มกราคม,2558,244351
30,ธันวาคม,2557,461704
17,ธันวาคม,2557,948354
1,ธันวาคม,2557,480449
16,พฤศจิกายน,2557,479804
1,พฤศจิกายน,2557,206608
16,ตุลาคม,2557,656409
1,ตุลาคม,2557,375615
16,กันยายน,2557,772269
1,กันยายน,2557,856763
16,สิงหาคม,2557,662842
1,สิงหาคม,2557,766391
16,กรกฏาคม,2557,468728
1,กรกฏาคม,2557,378488
16,มิถุนายน,2557,673920
1,มิถุนายน,2557,781198
16,พฤษภาคม,2557,87523
2,พฤษภาคม,2557,103297
16,เมษายน,2557,153406
1,เมษายน,2557,28866
16,มีนาคม,2557,531404
1,มีนาคม,2557,906318
16,กุมภาพันธ์,2557,384245
1,กุมภาพันธ์,2557,180149
16,มกราคม,2557,306902
30,ธันวาคม,2556,561072
17,ธันวาคม,2556,341767
1,ธันวาคม,2556,168795
16,พฤศจิกายน,2556,806925
1,พฤศจิกายน,2556,739804
16,ตุลาคม,2556,963289
1,ตุลาคม,2556,647882
16,กันยายน,2556,562684
1,กันยายน,2556,548123
16,สิงหาคม,2556,321327
1,สิงหาคม,2556,356435
16,กรกฏาคม,2556,566996
1,กรกฏาคม,2556,646905
16,มิถุนายน,2556,289673
1,มิถุนายน,2556,935489
16,พฤษภาคม,2556,687125
2,พฤษภาคม,2556,603458
16,เมษายน,2556,843846
1,เมษายน,2556,571688
16,มีนาคม,2556,968433
1,มีนาคม,2556,976241
16,กุมภาพันธ์,2556,368257
1,กุมภาพันธ์,2556,565566
16,มกราคม,2556,820981
30,ธันวาคม,2555,302358
17,ธันวาคม,2555,529524
1,ธันวาคม,2555,110443
16,พฤศจิกายน,2555,639500
1,พฤศจิกายน,2555,524694
16,ตุลาคม,2555,281343
1,ตุลาคม,2555,124025
16,กันยายน,2555,540143
1,กันยายน,2555,329997
16,สิงหาคม,2555,683877
1,สิงหาคม,2555,895590
16,กรกฏาคม,2555,904050
1,กรกฏาคม,2555,915900
16,มิถุนายน,2555,159373
1,มิถุนายน,2555,882727
16,พฤษภาคม,2555,814418
2,พฤษภาคม,2555,889501
16,เมษายน,2555,583470
1,เมษายน,2555,257562
16,มีนาคม,2555,607064
1,มีนาคม,2555,222518
